,hotel_name,price_week_before
506,Apart céntrico con terraza en Gracia,"€ 1,003"
507,Aparthotel Rambla108,"€ 2,204"
508,Happy People Plaza España Apartments,"€ 2,291"
509,Apartaments-Hotel Hispanos 7 Suiza,"€ 3,100"
510,Habitat Apartments Alibei,"€ 2,822"
511,Ola Living Calabria,"€ 2,714"
512,Bright & Breezy,"€ 1,727"
513,Close to Passeig de Gracia,"€ 2,077"
514,Happy People Ramblas Harbour Apartments,"€ 2,253"
515,Barcelona City North Hostal,"€ 2,037"
516,Be Barcelona Eixample Urquinaona II,"€ 1,335"
517,Exe Plaza Catalunya,"€ 2,285"
518,Boat Accommodations Barcelona,"€ 1,295"
519,La Mare by The Streets,"€ 1,875"
520,Exe Laietana Palace,"€ 2,080"
521,Jacobs Inn Barcelona,"€ 3,053"
522,Happy People Sagrada Familia Apartments,"€ 3,082"
523,Habitat Apartments Bailén,"€ 3,049"
524,Habitat Apartments ADN,"€ 2,289"
525,HABITACION PARA PAREJA CON BALCON,€ 890
526,Barcelona Centric,€ 770
527,Ola Living Music,"€ 2,869"
528,DreamKeys Barcelona City,"€ 2,334"
529,Palau de la Musica Apartments,"€ 2,583"
530,Habitat Apartments Cool Jazz,"€ 2,899"
531,Sarriá - Sant Gervasi,"€ 3,706"
532,Habitat Apartments Barcelona Balconies,"€ 3,065"
533,Home to Home Barcelona,"€ 2,787"
534,Ola Living Diagonal Apartments,"€ 3,686"
535,Vincent's House,"€ 2,331"
536,Plaza Catalunya City Center Apartments,"€ 2,462"
537,LucasLand Apartments Barcelona,"€ 3,581"
538,Barcelona City Hotel,"€ 2,871"
539,Casa Vilaró Park Guell,"€ 5,001"
540,Stay U-nique Apartments Rambla Catalunya,"€ 3,366"
541,Key Gracia Apartments,"€ 2,713"
542,Habitat Apartments Eixample Balconies.,"€ 3,058"
543,Casagrand Luxury Suites,"€ 5,880"
544,Habitat Apartments Hot Jazz,"€ 3,140"
545,Tendency Apartments 6,"€ 2,456"
546,Hotel Ronda Lesseps,"€ 1,262"
547,Lodging Apartments Liceu G2,"€ 2,175"
548,Habitat Apartments Rambla Deluxe,"€ 3,685"
549,Hotel Paseo de Gracia,"€ 1,352"
550,Ant Hostel Barcelona,"€ 1,942"
551,Stay U-nique Apartments Rossello,"€ 3,660"
552,Casa Consell Apartments,"€ 5,937"
553,Rambla de Mar Apartments,"€ 3,166"
554,Barcelona City Apartment,"€ 2,701"
555,Barcelona City Centre Hostal,"€ 3,052"
556,Stay U-nique Apartments Calabria,"€ 2,448"
557,Lodging Apartments Forum 15 - Barcelona Forum apartment with sea view,"€ 2,596"
558,Arcelon Hotel! New Opening! Nueva apertura 2023!,"€ 1,035"
559,Barcelona City Rooms,"€ 3,182"
560,Aparthotel Mariano Cubi Barcelona,"€ 1,248"
561,El Palauet Royal Suites,"€ 8,231"
562,Habitat Apartments Grace,"€ 6,081"
563,APBCN Eixample Center,"€ 4,173"
564,Twentytu Hostel Barcelona,"€ 3,530"
565,Tendency Apartments 9,"€ 6,401"
566,Casa Cosi - Mallorca 2,"€ 3,838"
567,Habitat Apartments Ferran,"€ 7,117"
568,Centrally Apartment in el Raval Neighbourhood,€ 892
569,Suite Gracia Barcelona,"€ 1,279"
570,Barco muy romantico con parking!,"€ 1,053"
571,Sepulveda 3,€ 890
572,H La Paloma Adults Only,"€ 1,008"
573,Habitat Apartments Barcelona Classic,"€ 5,986"
574,SibsBcn-Paseo de Gracia Penthouse-Luxury-Terraces,"€ 5,887"
575,Pool House Barcelona,"€ 4,556"
576,Bonito piso cerca de park guell,€ 982
577,H10 Casanova,"€ 1,631"
578,Flateli Llúria,"€ 1,160"
